,missing_percent
income_ratio,12.822384428223843
waist_cm,4.914841849148418
mean_systolic_bp,3.40632603406326
mean_diastolic_bp,3.40632603406326
education,1.8004866180048662
bmi,1.532846715328467
moderate_activity_min_week,0.8029197080291971
sedentary_min_day,0.7299270072992701
vigorous_activity_min_week,0.6082725060827251
current_smoking,0.12165450121654502
smoking_history,0.12165450121654502
age,0.0
sex,0.0
