,count,mean,std,min,25%,50%,75%,max,missing
age,4110.0,53.346958637469584,17.474072417694703,19.0,38.0,57.0,68.0,80.0,0
income_ratio,3583.0,2.9525118615685177,1.6516949818360234,0.0,1.46,2.86,5.0,5.0,527
bmi,4047.0,29.711094638003456,7.334234891661075,15.2,24.5,28.3,33.5,74.8,63
waist_cm,3908.0,100.78884339815764,16.950103331894592,61.4,88.5,99.3,111.1,187.0,202
mean_systolic_bp,3970.0,122.60533165407222,17.899692856251466,70.0,110.33333333333333,120.33333333333333,132.33333333333334,232.33333333333334,140
mean_diastolic_bp,3970.0,74.61314021830394,10.88411730113739,39.333333333333336,67.0,74.0,81.33333333333333,139.0,140
moderate_activity_min_week,4077.0,217.87495047263258,407.6834730441575,0.0,20.0,120.0,240.0,6300.0,33
vigorous_activity_min_week,4085.0,69.3195979662932,244.50565307478098,0.0,0.0,0.0,60.0,6720.0,25
sedentary_min_day,4080.0,365.1713235294118,209.13786843361805,0.0,180.0,300.0,480.0,1260.0,30
